ID Pelanggan,Tanggal Pembelian,Nama,Jenis Kelamin,Pendapatan,Produk,Harga,Jumlah,Total,Tingkat Kepuasan
da11b203,2023-01-01,Elijah Gonzalez,Perempuan,1200000,Coffee Maker,1000000,2,2000000,1
70aa9ccb,2023-01-01,Tina King,Laki-laki,400000,Smart Home Hub,250000,2,500000,3
cab53e29,2023-01-01,Sofia Hernandez,Perempuan,950000,Dryer,500000,1,500000,4
cd34756a,2023-01-01,William Smith,Laki-laki,950000,Camera,1000000,3,3000000,3
23fbe219,2023-01-01,Savannah Jones,Perempuan,950000,Camera,1000000,1,1000000,4
61a83503,2023-01-01,Adam Jackson,Perempuan,1200000,Toaster,100000,2,200000,3
c7d0b129,2023-01-01,Hannah Hernandez,Perempuan,600000,Gaming Console,250000,1,250000,2
827839d2,2023-01-01,Luna Campbell,Laki-laki,400000,Food Processor,500000,3,1500000,1
49646aec,2023-01-01,Charlotte Phillips,Perempuan,950000,Drone,500000,4,2000000,5
2a2cbbfc,2023-01-01,Ella Smith,Perempuan,950000,Flash Drive,100000,2,200000,4
712e8fa2,2023-01-01,Tina Nelson,Perempuan,1200000,Dryer,250000,1,250000,5
fdad537a,2023-01-01,Scarlett,Laki-laki,1200000,Fitness Tracker,500000,3,1500000,5
32feb466,2023-01-01,Thomas Evans,Perempuan,1200000,Charger,1000000,2,2000000,4
b371eede,2023-01-01,Luna Taylor,Laki-laki,950000,Smart Lock,500000,1,500000,1
dd11da54,2023-01-01,Lily Hernandez,Perempuan,950000,Dryer,100000,4,400000,3
ebe80d8f,2023-01-01,Alexander Phillips,Laki-laki,600000,Monitor,1000000,3,3000000,1
5ba95504,2023-01-01,Ava White,Laki-laki,950000,Drone,1000000,3,3000000,3
78055210,2023-01-01,Scarlett Evans,Perempuan,400000,Air Fryer,250000,4,1000000,4
ee066946,2023-01-01,Isaac Jones,Perempuan,1200000,Flash Drive,100000,2,200000,3
a350e0ba,2023-01-01,Emily Miller,Laki-laki,950000,Fitness Tracker,500000,4,2000000,1
7cfb8995,2023-01-01,Layla Smith,Laki-laki,600000,Smart Thermostat,250000,3,750000,5
53057574,2023-01-01,Joseph Hall,Laki-laki,950000,Home Theater System,500000,4,2000000,1
6e0325da,2023-01-01,Charles Adams,Laki-laki,1200000,Smart Thermostat,500000,4,2000000,2
6658f706,2023-01-01,Ethan Mitchell,Perempuan,950000,Water Purifier,500000,3,1500000,5
d166f7e5,2023-01-01,Ella Young,Laki-laki,600000,Smartwatch,1000000,4,4000000,1
1ec5b8fd,2023-01-01,Adam Parker,Perempuan,1200000,Desk Lamp,100000,1,100000,4
b131d595,2023-01-01,Kevin Hernandez,Perempuan,600000,Power Bank,250000,1,250000,2
69f49a01,2023-01-01,Elizabeth Scott,Perempuan,1200000,Electric Shaver,1000000,1,1000000,4
9ff3d8b4,2023-01-01,Lucy Adams,Perempuan,1200000,Food Processor,500000,1,500000,1
6f09ea67,2023-01-01,Lucy White,Laki-laki,600000,Electric Kettle,500000,2,1000000,5
acda1551,2023-01-01,Ethan Nelson,Perempuan,400000,Router,250000,4,1000000,1
0da66b93,2023-01-01,Aaron Perez,Perempuan,400000,Flash Drive,100000,2,200000,2
59e0d689,2023-01-01,Andrew Williams,Laki-laki,1200000,Blender,500000,1,500000,3
e531ed3f,2023-01-01,Daniel Edwards,Perempuan,950000,Gaming Console,1000000,2,2000000,4
000fbc1f,2023-01-01,Stella Robinson,Laki-laki,400000,Portable Fan,100000,3,300000,4
dd29240a,2023-01-01,Tyler Allen,Laki-laki,400000,Router,1000000,3,3000000,1
8c29991e,2023-01-01,Elizabeth Collins,Laki-laki,950000,Washing Machine,100000,2,200000,3
2fe9d3c5,2023-01-01,Elijah Lewis,Laki-laki,600000,Flash Drive,100000,4,400000,5
2c59203b,2023-01-01,Eleanor Edwards,Perempuan,400000,Portable Fan,250000,2,500000,4
767db6a7,2023-01-01,Ayu Campbell,Perempuan,1200000,Webcam,250000,3,750000,1
4e21d178,2023-01-01,Stella Nelson,Perempuan,400000,Keyboard,250000,4,1000000,1
96612c63,2023-01-01,Ava Lee,Laki-laki,400000,Straightening Iron,250000,4,1000000,5
bef6dae7,2023-01-01,Isabella Hill,Laki-laki,1200000,Action Camera,250000,3,750000,1
054cee6b,2023-01-01,Christopher Adams,Perempuan,1200000,Washing Machine,500000,1,500000,3
628ea95e,2023-01-01,Sofia Nelson,Perempuan,400000,Projector,500000,2,1000000,4
58250006,2023-01-01,Connor Green,Laki-laki,600000,Hair Dryer,1000000,2,2000000,5
9dd490ca,2023-01-01,Nathan Perez,Perempuan,1200000,Headphones,500000,1,500000,1
2ded6fff,2023-01-01,Elizabeth Hall,Perempuan,1200000,Microwave Oven,1000000,4,4000000,2
3dcd2960,2023-01-01,Tina Collins,Perempuan,600000,Portable Fan,100000,4,400000,5
